City,Region,Public_Event_Name,Event_Date,Traffic_Report_Date,Traffic_Level,Complaint_Type,Citizen_Complaint,Complaint_Date,Permit_Type,Permit_Status,Permit_Application_Date,Utility_Type,Utility_Usage_Amount,Utility_Report_Date,Temperature_C,Humidity_Percent
Makkah,Western,Configurable directional utilization,2025-08-10,2025-08-10,High,Waste,Record recently of after. Its from both move four can.,2025-08-09,Business License,Approved,2025-03-05,Electricity,2191.73,2025-08-10,41.3,35.6
Dammam,Central,Re-engineered global array,2025-08-10,2025-08-10,High,Road Damage,Effort yes east energy together himself fire want. Music least effort agent wonder executive go.,2025-06-22,Business License,Pending,2025-02-10,Gas,689.32,2025-08-10,39.4,22.1
Riyadh,Central,Re-engineered fresh-thinking support,2025-08-10,2025-08-10,Severe,Noise,Appear factor next very yourself. Safe relate candidate democratic race color.,2024-09-25,Business License,Rejected,2025-05-13,Water,2772.29,2025-08-10,28.0,16.0
Makkah,Western,Vision-oriented non-volatile model,2025-08-10,2025-08-10,Low,Noise,Kitchen item test protect. Interest head thought man product.,2025-08-07,Renovation,Rejected,2025-05-24,Electricity,6211.92,2025-08-10,22.6,84.4
Makkah,Central,Front-line fault-tolerant instruction set,2025-08-10,2025-08-10,Moderate,Water Leak,Scene ago each pick as course. Behavior wonder dream finally pick inside.,2025-04-11,Event,Pending,2025-07-17,Gas,777.63,2025-08-10,43.8,55.1
Tabuk,Central,Managed coherent emulation,2025-08-10,2025-08-10,High,Electricity,Prepare exist up. Strong author first blue successful.,2025-06-14,Business License,Rejected,2024-09-20,Electricity,2072.66,2025-08-10,38.1,78.0
Tabuk,Western,Synergized content-based function,2025-08-10,2025-08-10,Severe,Water Leak,Almost its other tend nearly can than feeling. Board message sister thousand risk.,2025-03-08,Event,Approved,2024-08-16,Electricity,3242.34,2025-08-10,41.4,40.6
Madinah,Central,Implemented secondary model,2025-08-10,2025-08-10,High,Waste,Protect process discussion we out learn town. Last state main president.,2025-06-16,Business License,Pending,2025-03-28,Water,2350.91,2025-08-10,27.8,51.9
Jeddah,Eastern,Implemented background frame,2025-08-10,2025-08-10,High,Noise,Analysis there moment son throughout idea happen. Property stop wonder it rise certain.,2025-01-30,Event,Pending,2025-05-30,Gas,1438.51,2025-08-10,17.4,83.2
Madinah,Northern,Balanced bandwidth-monitored matrix,2025-08-10,2025-08-10,Moderate,Waste,Appear professor television soldier listen across. Skill site over figure.,2025-01-08,Business License,Approved,2025-01-18,Electricity,354.78,2025-08-10,27.3,15.6
Dammam,Northern,Secured modular alliance,2025-08-10,2025-08-10,Moderate,Water Leak,"Impact police radio. Issue war toward leader many true.
Note most product style firm travel.",2024-12-04,Event,Approved,2025-04-24,Gas,3842.1,2025-08-10,34.7,16.9
Makkah,Eastern,Diverse interactive infrastructure,2025-08-10,2025-08-10,Low,Water Leak,Evening the four ball. Tonight student election always might. Reduce beyond that.,2025-02-07,Renovation,Pending,2025-01-19,Gas,4781.81,2025-08-10,44.2,84.0
Jeddah,Central,Assimilated 24/7 middleware,2025-08-10,2025-08-10,Severe,Waste,"Human ever environment find bar.
Society everyone decision trade many. Modern fight six easy.",2025-04-15,Event,Rejected,2024-08-24,Gas,4902.64,2025-08-10,44.2,35.0
Dammam,Central,Sharable needs-based frame,2025-08-10,2025-08-10,Moderate,Road Damage,View second next later certainly.,2025-01-24,Business License,Pending,2024-12-22,Electricity,2083.56,2025-08-10,40.4,49.1
Jeddah,Eastern,Vision-oriented 24/7 functionalities,2025-08-10,2025-08-10,Moderate,Electricity,Enter task window ahead read among south. Every maintain white something.,2024-09-29,Business License,Approved,2025-01-15,Gas,5025.92,2025-08-10,42.6,10.2
Makkah,Southern,Open-architected upward-trending collaboration,2025-08-10,2025-08-10,Low,Noise,Now sense store mention member exist. During policy ahead identify weight analysis program.,2024-12-06,Event,Approved,2025-05-27,Water,9754.09,2025-08-10,23.0,86.4
